SGO Report ID,SGO Report Version,SGO Amendment,Year Month,Location,Crash Type,Is NHTSA Reportable In-Transport,Is NHTSA Reportable In-Transport Delta-V Less than 1 MPH,Is Police-Reported,Is Any-Injury-Reported,Is Any Vehicle Airbag Deployment,Is Ego Vehicle Airbag Deployment,Is Suspected Serious Injury+,Incident Date,Location Address / Description,Zip Code
30270-11742,1,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/20/25,Channel Street at 3rd Street,94158
30270-11739,1,Amendment 3,202509,LOS_ANGELES,V2V F2R,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9/20/25,Carrillo Drive at Commodore Sloat Drive,90048
30270-11738,1,Amendment 3,202509,SAN_FRANCISCO,Motorcycle,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,9/18/25,Shoreline Highway at Fulton Street,94118
30270-11724,1,Amendment 3,202509,LOS_ANGELES,V2V Head-on,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/13/25,S. Flower Street near E. 99th Street,90301
30270-11718,1,Amendment 3,202509,LOS_ANGELES,V2V Intersection,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/14/25,S. La Tijera Boulevard at Bleriot Avenue,90045
30270-11717,1,Amendment 3,202509,LOS_ANGELES,V2V Intersection,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/14/25,Victoria Avenue at McLaughlin Avenue,90066
30270-11716,1,Amendment 3,202509,LOS_ANGELES,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/10/25,Broadway at Euclid Court,90404
30270-11715,1,Amendment 3,202509,PHOENIX,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/14/25,parking lot at 291 E. Buckeye Road,85004
30270-11713,1,Amendment 3,202509,PHOENIX,Motorcycle,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,9/14/25,Rural Road at E Lemon Street,85281
30270-11702,1,Amendment 3,202509,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/9/25,13th Street at Harrison Street,94103
30270-11701,1,Amendment 3,202509,LOS_ANGELES,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/9/25,Sawtelle Boulevard at the off-ramp freeway exit 51 of Interstate 405,90066
30270-11698,1,Amendment 3,202509,AUSTIN,All Others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/9/25,Donahue Lane near Pepper Lane,78744
30270-11695,1,Amendment 3,202509,SAN_FRANCISCO,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/8/25,Powell Street at Bush Street,94108
30270-11692,1,Amendment 3,202509,AUSTIN,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/8/25,W. 5th Street near Baylor Street,78703
30270-11672,1,Amendment 3,202509,ATLANTA,Single Vehicle,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/10/25,Pollard Boulevard SW near Capital Avenue SE, 
30270-11664,1,Amendment 3,202509,SAN_FRANCISCO,All Others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/9/25,Pine Street at Battery Street, 
30270-11637,1,Amendment 3,202509,LOS_ANGELES,V2V Intersection,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/8/25,W. Pico Boulevard at Main Street, 
30270-11629,1,Amendment 3,202509,LOS_ANGELES,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/6/25,exit of a parking lot located at 1517 Lincoln Boulevard, 
30270-11627,1,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/8/25,Folsom Street at Main Street, 
30270-11625,1,Amendment 3,202509,SAN_FRANCISCO,Motorcycle,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9/5/25,Harrison Street at Hawthorne Street, 
30270-11623,1,Amendment 3,202509,AUSTIN,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/5/25,N. Interstate 35 Frontage Road near Woodward Street, 
30270-11618,1,Amendment 3,202509,SAN_FRANCISCO,V2V Intersection,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/5/25,Montgomery Street at Broadway, 
30270-11612,1,Amendment 3,202509,AUSTIN,V2V Intersection,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9/3/25,E. 8th Street at San Jacinto Boulevard, 
30270-11609,1,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/3/25,Columbus Avenue near Stockton Street, 
30270-11608,1,Amendment 3,202509,LOS_ANGELES,V2V Lateral,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,9/3/25,Berryman Avenue near Hayter Avenue, 
30270-11673,1,Amendment 3,202508,PHOENIX,V2V F2R,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8/30/25,N. 78th Street at E. Indian School Road, 
30270-11671,1,Amendment 3,202508,LOS_ANGELES,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/24/25,Berryman Avenue near Hayter Avenue, 
