report_id,report_version,amendment,year_month,city,crash_type,nhtsa_reportable,low_severity,police_reported,injury_reported,airbag_any,airbag_ego,serious_injury,incident_date,address,zip_code,year,month,month_name,day,day_of_week,day_of_week_num,is_weekend,quarter,year_month_dt,city_clean,severity_score,latitude,longitude
30270-11763,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,True,False,False,False,False,False,False,2025-09-20,Market Street at Valencia Street,94103,2025.0,9.0,September,20.0,Saturday,5.0,True,3.0,2025-09,San Francisco,0,37.76798623180624,-122.40962513670264
30270-11762,1.0,Amendment 3,202509,LOS_ANGELES,V2V Lateral,True,False,True,False,False,False,False,2025-09-21,La Brea Avenue at S. Market Street,90301,2025.0,9.0,September,21.0,Sunday,6.0,True,3.0,2025-09,Los Angeles,1,33.949766785287,-118.35431190794115
30270-11761,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,True,True,False,False,False,False,False,2025-09-17,Bush Street near Grant Avenue,94108,2025.0,9.0,September,17.0,Wednesday,2.0,False,3.0,2025-09,San Francisco,0,37.79430453202905,-122.40875270151092
30270-11760,1.0,Amendment 3,202509,LOS_ANGELES,V2V Lateral,True,False,True,False,False,False,False,2025-09-21,W. 8th Street near S. Western Avenue,90005,2025.0,9.0,September,21.0,Sunday,6.0,True,3.0,2025-09,Los Angeles,1,34.062612543570744,-118.30745799602923
30270-11759,1.0,Amendment 3,202509,AUSTIN,V2V Lateral,True,False,False,False,False,False,False,2025-09-15,San Antonio Street near W. Cesar Chavez Street,78701,2025.0,9.0,September,15.0,Monday,0.0,False,3.0,2025-09,Austin,0,30.274863393658983,-97.74595685917701
30270-11758,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V F2R,True,False,False,False,False,False,False,2025-09-19,Brannan Street near 4th Street,94107,2025.0,9.0,September,19.0,Friday,4.0,False,3.0,2025-09,San Francisco,0,37.76253343402732,-122.39749625716111
30270-11756,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,True,True,False,False,False,False,False,2025-09-20,Hayes Street at Steiner Street,94117,2025.0,9.0,September,20.0,Saturday,5.0,True,3.0,2025-09,San Francisco,0,37.76592599545105,-122.44249926870997
30270-11755,1.0,Amendment 3,202509,LOS_ANGELES,V2V Head-on,True,False,False,False,False,False,False,2025-09-19,7th Street near Flower Street,90017,2025.0,9.0,September,19.0,Friday,4.0,False,3.0,2025-09,Los Angeles,0,34.05004501036904,-118.26354809245737
30270-11753,1.0,Amendment 3,202509,LOS_ANGELES,All Others,True,True,False,False,False,False,False,2025-09-19,N. Cherokee Avenue near Hollywood Boulevard,90028,2025.0,9.0,September,19.0,Friday,4.0,False,3.0,2025-09,Los Angeles,0,34.101191113500164,-118.32290738120685
30270-11742,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,True,False,False,False,False,False,False,2025-09-20,Channel Street at 3rd Street,94158,2025.0,9.0,September,20.0,Saturday,5.0,True,3.0,2025-09,San Francisco,0,37.771757466060386,-122.38287722252045
30270-11739,1.0,Amendment 3,202509,LOS_ANGELES,V2V F2R,True,False,True,False,True,False,False,2025-09-20,Carrillo Drive at Commodore Sloat Drive,90048,2025.0,9.0,September,20.0,Saturday,5.0,True,3.0,2025-09,Los Angeles,3,34.073541467365516,-118.37373297897993
30270-11738,1.0,Amendment 3,202509,SAN_FRANCISCO,Motorcycle,True,False,True,True,False,False,False,2025-09-18,Shoreline Highway at Fulton Street,94118,2025.0,9.0,September,18.0,Thursday,3.0,False,3.0,2025-09,San Francisco,3,37.78340665333502,-122.46202467981115
30270-11724,1.0,Amendment 3,202509,LOS_ANGELES,V2V Head-on,True,True,False,False,False,False,False,2025-09-13,S. Flower Street near E. 99th Street,90301,2025.0,9.0,September,13.0,Saturday,5.0,True,3.0,2025-09,Los Angeles,0,33.95374194742324,-118.35834711881203
30270-11718,1.0,Amendment 3,202509,LOS_ANGELES,V2V Intersection,True,False,False,False,False,False,False,2025-09-14,S. La Tijera Boulevard at Bleriot Avenue,90045,2025.0,9.0,September,14.0,Sunday,6.0,True,3.0,2025-09,Los Angeles,0,33.96076286480761,-118.39934308386862
30270-11717,1.0,Amendment 3,202509,LOS_ANGELES,V2V Intersection,True,False,False,False,False,False,False,2025-09-14,Victoria Avenue at McLaughlin Avenue,90066,2025.0,9.0,September,14.0,Sunday,6.0,True,3.0,2025-09,Los Angeles,0,33.99794230035999,-118.42649712405824
30270-11716,1.0,Amendment 3,202509,LOS_ANGELES,V2V Backing,True,False,False,False,False,False,False,2025-09-10,Broadway at Euclid Court,90404,2025.0,9.0,September,10.0,Wednesday,2.0,False,3.0,2025-09,Los Angeles,0,34.02557250996008,-118.47434409345574
30270-11715,1.0,Amendment 3,202509,PHOENIX,V2V Backing,True,True,False,False,False,False,False,2025-09-14,parking lot at 291 E. Buckeye Road,85004,2025.0,9.0,September,14.0,Sunday,6.0,True,3.0,2025-09,Phoenix,0,33.44619436808618,-112.07202311860819
30270-11713,1.0,Amendment 3,202509,PHOENIX,Motorcycle,True,False,True,True,False,False,True,2025-09-14,Rural Road at E Lemon Street,85281,2025.0,9.0,September,14.0,Sunday,6.0,True,3.0,2025-09,Phoenix,6,33.420832297851845,-111.93980919836076
30270-11702,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V F2R,True,False,False,False,False,False,False,2025-09-09,13th Street at Harrison Street,94103,2025.0,9.0,September,9.0,Tuesday,1.0,False,3.0,2025-09,San Francisco,0,37.77391157589622,-122.40824668710945
30270-11701,1.0,Amendment 3,202509,LOS_ANGELES,V2V F2R,True,False,False,False,False,False,False,2025-09-09,Sawtelle Boulevard at the off-ramp freeway exit 51 of Interstate 405,90066,2025.0,9.0,September,9.0,Tuesday,1.0,False,3.0,2025-09,Los Angeles,0,34.000373383666386,-118.42881809712917
30270-11698,1.0,Amendment 3,202509,AUSTIN,All Others,True,True,False,False,False,False,False,2025-09-09,Donahue Lane near Pepper Lane,78744,2025.0,9.0,September,9.0,Tuesday,1.0,False,3.0,2025-09,Austin,0,30.173337018703535,-97.72786478546428
30270-11695,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Backing,True,False,False,False,False,False,False,2025-09-08,Powell Street at Bush Street,94108,2025.0,9.0,September,8.0,Monday,0.0,False,3.0,2025-09,San Francisco,0,37.79621551844452,-122.40831937791329
30270-11692,1.0,Amendment 3,202509,AUSTIN,V2V Backing,True,False,False,False,False,False,False,2025-09-08,W. 5th Street near Baylor Street,78703,2025.0,9.0,September,8.0,Monday,0.0,False,3.0,2025-09,Austin,0,30.29838246934788,-97.76945641100548
30270-11672,1.0,Amendment 3,202509,ATLANTA,Single Vehicle,True,False,False,False,False,False,False,2025-09-10,Pollard Boulevard SW near Capital Avenue SE, ,2025.0,9.0,September,10.0,Wednesday,2.0,False,3.0,2025-09,Atlanta,0,33.751885048552836,-84.3712210223569
30270-11664,1.0,Amendment 3,202509,SAN_FRANCISCO,All Others,True,True,False,False,False,False,False,2025-09-09,Pine Street at Battery Street, ,2025.0,9.0,September,9.0,Tuesday,1.0,False,3.0,2025-09,San Francisco,0,37.76399281860415,-122.41472648012648
30270-11637,1.0,Amendment 3,202509,LOS_ANGELES,V2V Intersection,True,False,False,False,False,False,False,2025-09-08,W. Pico Boulevard at Main Street, ,2025.0,9.0,September,8.0,Monday,0.0,False,3.0,2025-09,Los Angeles,0,34.05290989797633,-118.2330294880429
30270-11629,1.0,Amendment 3,202509,LOS_ANGELES,Single Vehicle,True,True,False,False,False,False,False,2025-09-06,exit of a parking lot located at 1517 Lincoln Boulevard, ,2025.0,9.0,September,6.0,Saturday,5.0,True,3.0,2025-09,Los Angeles,0,34.035241636606976,-118.24828850250347
30270-11627,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,True,True,False,False,False,False,False,2025-09-08,Folsom Street at Main Street, ,2025.0,9.0,September,8.0,Monday,0.0,False,3.0,2025-09,San Francisco,0,37.78225821260529,-122.42972367576333
30270-11625,1.0,Amendment 3,202509,SAN_FRANCISCO,Motorcycle,True,False,True,False,False,False,False,2025-09-05,Harrison Street at Hawthorne Street, ,2025.0,9.0,September,5.0,Friday,4.0,False,3.0,2025-09,San Francisco,1,37.79320711116853,-122.40280963179794
30270-11623,1.0,Amendment 3,202509,AUSTIN,V2V Lateral,True,True,False,False,False,False,False,2025-09-05,N. Interstate 35 Frontage Road near Woodward Street, ,2025.0,9.0,September,5.0,Friday,4.0,False,3.0,2025-09,Austin,0,30.2565903902953,-97.74082315660921
30270-11618,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Intersection,True,True,False,False,False,False,False,2025-09-05,Montgomery Street at Broadway, ,2025.0,9.0,September,5.0,Friday,4.0,False,3.0,2025-09,San Francisco,0,37.760887600691774,-122.40528517749578
30270-11612,1.0,Amendment 3,202509,AUSTIN,V2V Intersection,True,False,True,False,False,False,False,2025-09-03,E. 8th Street at San Jacinto Boulevard, ,2025.0,9.0,September,3.0,Wednesday,2.0,False,3.0,2025-09,Austin,1,30.28695740852442,-97.72588108170976
30270-11609,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,True,True,False,False,False,False,False,2025-09-03,Columbus Avenue near Stockton Street, ,2025.0,9.0,September,3.0,Wednesday,2.0,False,3.0,2025-09,San Francisco,0,37.78110455934989,-122.4196965820918
30270-11608,1.0,Amendment 3,202509,LOS_ANGELES,V2V Lateral,True,True,True,False,False,False,False,2025-09-03,Berryman Avenue near Hayter Avenue, ,2025.0,9.0,September,3.0,Wednesday,2.0,False,3.0,2025-09,Los Angeles,1,34.04227657385209,-118.22929254816859
30270-11673,1.0,Amendment 3,202508,PHOENIX,V2V F2R,True,True,True,False,False,False,False,2025-08-30,N. 78th Street at E. Indian School Road, ,2025.0,8.0,August,30.0,Saturday,5.0,True,3.0,2025-08,Phoenix,1,33.44742749109682,-112.08365771609236
30270-11671,1.0,Amendment 3,202508,LOS_ANGELES,V2V Lateral,True,True,False,False,False,False,False,2025-08-24,Berryman Avenue near Hayter Avenue, ,2025.0,8.0,August,24.0,Sunday,6.0,True,3.0,2025-08,Los Angeles,0,34.06721036471867,-118.25100437387665
30270-11622,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,True,False,False,False,False,False,False,2025-08-28,Haight Street at Octavia Street, ,2025.0,8.0,August,28.0,Thursday,3.0,False,3.0,2025-08,San Francisco,0,37.79333018256392,-122.43488505377981
30270-11621,1.0,Amendment 3,202508,PHOENIX,V2V Intersection,True,False,True,False,False,False,False,2025-08-18,N. 1st Avenue at W. Adams Street, ,2025.0,8.0,August,18.0,Monday,0.0,False,3.0,2025-08,Phoenix,1,33.42903404176345,-112.06934205377841
30270-11611,1.0,Amendment 3,202508,PHOENIX,V2V Lateral,True,False,False,False,False,False,False,2025-08-27,S. 24th Street near E. Broadway Road, ,2025.0,8.0,August,27.0,Wednesday,2.0,False,3.0,2025-08,Phoenix,0,33.45568604423698,-112.08882091499575
30270-11607,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V Lateral,True,False,False,False,False,False,False,2025-08-29,16th Street near Market Street, ,2025.0,8.0,August,29.0,Friday,4.0,False,3.0,2025-08,San Francisco,0,37.78821133497819,-122.4033842529153
30270-11605,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V Lateral,True,True,False,False,False,False,False,2025-08-31,Dearborn Street near 17th Street, ,2025.0,8.0,August,31.0,Sunday,6.0,True,3.0,2025-08,San Francisco,0,37.785844334417156,-122.42359473060664
30270-11596,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,True,False,False,False,False,False,False,2025-08-31,Cesar Chavez Street at S. Van Ness Avenue, ,2025.0,8.0,August,31.0,Sunday,6.0,True,3.0,2025-08,San Francisco,0,37.79172997958715,-122.4226455644905
30270-11594,1.0,Amendment 3,202508,PHOENIX,Single Vehicle,True,True,False,False,False,False,False,2025-08-29,N. 66th Place near E. Horseshoe Road, ,2025.0,8.0,August,29.0,Friday,4.0,False,3.0,2025-08,Phoenix,0,33.4673658943797,-112.06072977900452
30270-11591,1.0,Amendment 3,202508,LOS_ANGELES,All Others,True,True,False,False,False,False,False,2025-08-29,W. Olympic Boulevard near Patricia Avenue, ,2025.0,8.0,August,29.0,Friday,4.0,False,3.0,2025-08,Los Angeles,0,34.03291442511824,-118.22925308296185
30270-11590,1.0,Amendment 3,202508,SAN_FRANCISCO,All Others,True,True,False,False,False,False,False,2025-08-25,Spruce Street near California Street, ,2025.0,8.0,August,25.0,Monday,0.0,False,3.0,2025-08,San Francisco,0,37.78589425461584,-122.40887635281203
30270-11589,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,True,False,False,False,True,False,False,2025-08-31,Mission Street at School Street, ,2025.0,8.0,August,31.0,Sunday,6.0,True,3.0,2025-08,San Francisco,2,37.785929510029035,-122.43368218086121
30270-11588,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,True,False,False,False,False,False,False,2025-08-29,The Circle at University Avenue, ,2025.0,8.0,August,29.0,Friday,4.0,False,3.0,2025-08,San Francisco,0,37.790877465661175,-122.42521568585533
30270-11573,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V Backing,True,False,False,True,False,False,False,2025-08-23,Larkin Street near North Point Street, ,2025.0,8.0,August,23.0,Saturday,5.0,True,3.0,2025-08,San Francisco,2,37.77028499142291,-122.42640203134131
30270-11571,1.0,Amendment 3,202508,PHOENIX,All Others,True,True,False,False,False,False,False,2025-08-26,S. 17th Avenue near W. Buchanan Street, ,2025.0,8.0,August,26.0,Tuesday,1.0,False,3.0,2025-08,Phoenix,0,33.45952842616567,-112.07716559855061
30270-11569,1.0,Amendment 3,202508,ATLANTA,All Others,True,True,False,False,False,False,False,2025-08-16,parking lot at 1750 Ellsworth Industrial Boulevard NW, ,2025.0,8.0,August,16.0,Saturday,5.0,True,3.0,2025-08,Atlanta,0,33.760310608725,-84.38621309604298
30270-11567,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V Lateral,True,False,False,False,False,False,False,2025-08-20,18th Street at Lapidge Street, ,2025.0,8.0,August,20.0,Wednesday,2.0,False,3.0,2025-08,San Francisco,0,37.78579199200193,-122.42686972419308
30270-11565,1.0,Amendment 3,202508,PHOENIX,V2V Intersection,True,False,True,False,False,False,False,2025-08-18,E. Camelback Road at N. 18th Street, ,2025.0,8.0,August,18.0,Monday,0.0,False,3.0,2025-08,Phoenix,1,33.44620820097671,-112.07625082114869
30270-11564,1.0,Amendment 3,202508,LOS_ANGELES,V2V Lateral,True,True,False,False,False,False,False,2025-08-22,2nd Street at Colorado Avenue, ,2025.0,8.0,August,22.0,Friday,4.0,False,3.0,2025-08,Los Angeles,0,34.05129681933985,-118.2495876590745
30270-11561,1.0,Amendment 3,202508,LOS_ANGELES,Single Vehicle,True,True,False,False,False,False,False,2025-08-21,E. 11th Street near Imperial Street, ,2025.0,8.0,August,21.0,Thursday,3.0,False,3.0,2025-08,Los Angeles,0,34.063069394712066,-118.25239939224964
30270-11548,1.0,Amendment 3,202508,LOS_ANGELES,Single Vehicle,True,True,False,False,False,False,False,2025-08-21,an alley behind S. Turo Avenue, ,2025.0,8.0,August,21.0,Thursday,3.0,False,3.0,2025-08,Los Angeles,0,34.051187324531575,-118.23796443111327
30270-11547,1.0,Amendment 3,202508,LOS_ANGELES,V2V Head-on,True,True,True,False,False,False,False,2025-08-22,Berryman Avenue near Herbert Street, ,2025.0,8.0,August,22.0,Friday,4.0,False,3.0,2025-08,Los Angeles,1,34.04150735029238,-118.24606426987238
30270-11546,1.0,Amendment 3,202508,PHOENIX,Single Vehicle,True,True,False,False,False,False,False,2025-08-21,E. Broadway Avenue near S. 44th Place, ,2025.0,8.0,August,21.0,Thursday,3.0,False,3.0,2025-08,Phoenix,0,33.461304596319025,-112.06404141006792
30270-11545,1.0,Amendment 3,202508,PHOENIX,V2V Intersection,True,False,True,False,False,False,False,2025-08-23,Washington Street at the frontage road following the off-ramp exit of Interstate 10, ,2025.0,8.0,August,23.0,Saturday,5.0,True,3.0,2025-08,Phoenix,1,33.43551671832563,-112.08549759747312
